ID;Name;IATA;ICAO;Latitude;Longitude;iso_code
2433;Puerto Princesa Airport;PPS;RPVP;9.742119789123535;118.75900268554688;PH
2435;Evelio Javier Airport;EUQ;RPVS;10.765999794;121.932998657;PH
2436;Comodoro Pierrestegui Airport;COC;SAAC;-31.2969;-57.9966;AR
2437;Gualeguaychu Airport;GHU;SAAG;-33.0103;-58.6131;AR
2438;Junin Airport;JNI;SAAJ;-34.5459;-60.9306;AR
2439;General Urquiza Airport;PRA;SAAP;-31.7948;-60.4804;AR
2440;Islas Malvinas Airport;ROS;SAAR;-32.9036;-60.785;AR
2441;Sauce Viejo Airport;SFN;SAAV;-31.7117;-60.8117;AR
2442;Jorge Newbery Airpark;AEP;SABE;-34.5592;-58.4156;AR
2443;Ingeniero Ambrosio Taravella Airport;COR;SACO;-31.323601;-64.208;AR
2444;Chamical Airport;\N;SACT;-30.34530067;-66.29360198;AR
2445;San Fernando Airport;FDO;SADF;-34.4532;-58.5896;AR
2446;Mariano Moreno Airport;\N;SADJ;-34.5606;-58.7896;AR
2447;La Plata Airport;LPG;SADL;-34.9722;-57.8947;AR
2448;Moron Airport;\N;SADM;-34.6763;-58.6428;AR
2449;El Palomar Airport;EPA;SADP;-34.6099;-58.6126;AR
2450;Chos Malal Airport;HOS;SAHC;-37.444698333699996;-70.2225036621;AR
2451;Dr. Arturo H. Illia Airport;GNR;SAHR;-39.0007019043;-67.6204986572;AR
2452;El Plumerillo Airport;MDZ;SAME;-32.8316993713;-68.7929000854;AR
2453;Comodoro D.R. Salomón Airport;LGS;SAMM;-35.493598938;-69.5743026733;AR
2454;Suboficial Ay Santiago Germano Airport;AFA;SAMR;-34.588299;-68.4039;AR
2455;Catamarca Airport;CTC;SANC;-28.5956001282;-65.751701355;AR
2456;Vicecomodoro Angel D. La Paz Aragonés Airport;SDE;SANE;-27.765556335399996;-64.3099975586;AR
2457;Tinogasta Airport;\N;SANI;-28.0377998352;-67.5802993774;AR
2458;Capitan V A Almonacid Airport;IRJ;SANL;-29.3815994263;-66.7957992554;AR
2459;Chilecito Airport;\N;SANO;-29.2238998413;-67.4389038086;AR
2460;Teniente Benjamin Matienzo Airport;TUC;SANT;-26.8409;-65.104897;AR
2461;Domingo Faustino Sarmiento Airport;UAQ;SANU;-31.571501;-68.418198;AR
2462;Area De Material Airport;RCU;SAOC;-33.0850982666;-64.2612991333;AR
2463;Villa Dolores Airport;VDR;SAOD;-31.9451999664;-65.1463012695;AR
2464;La Quiaca Airport;\N;SAOL;-22.1506004333;-65.57749938959999;AR
2465;Marcos Juarez Airport;\N;SAOM;-32.6836;-62.157801;AR
2466;Villa Reynolds Airport;VME;SAOR;-33.7299003601;-65.3873977661;AR
2467;Brigadier Mayor D Cesar Raul Ojeda Airport;LUQ;SAOU;-33.2732009888;-66.3563995361;AR
2468;Corrientes Airport;CNQ;SARC;-27.4455;-58.7619;AR
2469;Resistencia International Airport;RES;SARE;-27.45;-59.0561;AR
2470;Formosa Airport;FMA;SARF;-26.2127;-58.2281;AR
2471;Cataratas Del Iguazú International Airport;IGR;SARI;-25.737301;-54.4734;AR
2472;Paso De Los Libres Airport;AOL;SARL;-29.6894;-57.1521;AR
2473;Monte Caseros Airport;MCS;SARM;-30.2719;-57.6402;AR
2474;Libertador Gral D Jose De San Martin Airport;PSS;SARP;-27.3858;-55.9707;AR
2475;Termal Airport;PRQ;SARS;-26.753611;-60.492222;AR
2476;Martin Miguel De Guemes International Airport;SLA;SASA;-24.856000900299996;-65.4861984253;AR
2477;Gobernador Horacio Guzman International Airport;JUJ;SASJ;-24.392799;-65.097801;AR
2478;Orán Airport;ORA;SASO;-23.1527996063;-64.3292007446;AR
2479;Laboulaye Airport;\N;SASQ;-34.1353988647;-63.36230087279999;AR
2481;El Dorado Airport;ELO;SATD;-26.3974990845;-54.5746994019;AR
2482;Goya Airport;OYA;SATG;-29.1058;-59.2189;AR
2483;Oberá Airport;\N;SATO;-27.5181999207;-55.1241989136;AR
2484;Reconquista Airport;RCQ;SATR;-29.2103;-59.68;AR
2485;Curuzu Cuatia Airport;UZU;SATU;-29.7706;-57.9789;AR
2486;El Bolson Airport;EHL;SAVB;-41.9431991577;-71.5323028564;AR
2487;General E. Mosconi Airport;CRD;SAVC;-45.7853;-67.4655;AR
2488;Brigadier Antonio Parodi Airport;EQS;SAVE;-42.908000946;-71.139503479;AR
2490;Almirante Marco Andres Zar Airport;REL;SAVT;-43.2105;-65.2703;AR
2491;Gobernador Castello Airport;VDM;SAVV;-40.8692;-63.0004;AR
2492;El Tehuelche Airport;PMY;SAVY;-42.7592;-65.1027;AR
2493;Marambio Base;\N;SAWB;-64.2382965088;-56.6307983398;AQ
2494;Puerto Deseado Airport;PUD;SAWD;-47.7353;-65.9041;AR
2495;Hermes Quijada International Airport;RGA;SAWE;-53.7777;-67.7494;AR
2496;Piloto Civil N. Fernández Airport;RGL;SAWG;-51.6089;-69.3126;AR
2497;Malvinas Argentinas Airport;USH;SAWH;-54.8433;-68.2958;AR
2498;Capitan D Daniel Vazquez Airport;ULA;SAWJ;-49.3068;-67.8026;AR
2499;Perito Moreno Airport;PMQ;SAWP;-46.537899;-70.978699;AR
2500;Santa Cruz Airport;RZA;SAWU;-50.0165;-68.5792;AR
2501;Comandante Espora Airport;BHI;SAZB;-38.725;-62.1693;AR
2502;Brigadier D.H.E. Ruiz Airport;CSZ;SAZC;-37.446098;-61.889301;AR
2503;Olavarria Airport;OVR;SAZF;-36.8899993896;-60.216598510699995;AR
2504;General Pico Airport;GPO;SAZG;-35.6962013245;-63.7583007812;AR
2505;Tres Arroyos Airport;OYO;SAZH;-38.3869;-60.3297;AR
2506;Bolivar Airport;\N;SAZI;-36.1866;-61.0764;AR
2508;Ástor Piazzola International Airport;MDQ;SAZM;-37.9342;-57.5733;AR
2509;Presidente Peron Airport;NQN;SAZN;-38.949001;-68.155701;AR
2511;Comodoro Pedro Zanni Airport;PEH;SAZP;-35.8446;-61.8576;AR
2512;Santa Rosa Airport;RSA;SAZR;-36.588299;-64.275703;AR
2513;San Carlos De Bariloche Airport;BRC;SAZS;-41.151199;-71.157501;AR
2514;Héroes De Malvinas Airport;TDL;SAZT;-37.2374000549;-59.2279014587;AR
2515;Villa Gesell Airport;VLG;SAZV;-37.2354;-57.0292;AR
2516;Cutral-Co Airport;CUT;SAZW;-38.939701080300004;-69.2646026611;AR
2517;Aviador C. Campos Airport;CPC;SAZY;-40.075401;-71.137299;AR
2518;Conceição do Araguaia Airport;CDJ;SBAA;-8.348349571228027;-49.30149841308594;BR
2519;Campo Délio Jardim de Mattos Airport;\N;SBAF;-22.875099;-43.384701;BR
2520;Amapá Airport;\N;SBAM;2.07751;-50.8582;BR
2521;Araraquara Airport;AQA;SBAQ;-21.812000274699997;-48.1329994202;BR
2522;Santa Maria Airport;AJU;SBAR;-10.984000206;-37.0703010559;BR
2524;Piloto Osvaldo Marques Dias Airport;AFL;SBAT;-9.8663892746;-56.1049995422;BR
2525;Araçatuba Airport;ARU;SBAU;-21.1413002014;-50.4247016907;BR
2526;Val de Cans/Júlio Cezar Ribeiro International Airport;BEL;SBBE;-1.3792500495900002;-48.4762992859;BR
2527;Comandante Gustavo Kraemer Airport;BGX;SBBG;-31.39049911499;-54.112201690674;BR
2528;Pampulha - Carlos Drummond de Andrade Airport;PLU;SBBH;-19.851200103759766;-43.950599670410156;BR
2529;Bacacheri Airport;BFH;SBBI;-25.4050998688;-49.23199844359999;BR
2530;Major Brigadeiro Doorgal Borges Airport;\N;SBBQ;-21.2672;-43.761101;BR
2531;Presidente Juscelino Kubistschek International Airport;BSB;SBBR;-15.86916732788086;-47.920833587646484;BR
2532;Bauru Airport;BAU;SBBU;-22.3449993134;-49.0537986755;BR
2533;Atlas Brasil Cantanhede Airport;BVB;SBBV;2.84138894081;-60.6922225952;BR
2534;Barra do Garças Airport;BPG;SBBW;-15.861300468400001;-52.3889007568;BR
2535;Cascavel Airport;CAC;SBCA;-25.0002994537;-53.500801086399996;BR
2536;Cachimbo Airport;\N;SBCC;-9.33393955231;-54.9654006958;BR
2537;Tancredo Neves International Airport;CNF;SBCF;-19.62444305419922;-43.97194290161133;BR
2538;Campo Grande Airport;CGR;SBCG;-20.468700408900002;-54.6725006104;BR
2539;Serafin Enoss Bertaso Airport;XAP;SBCH;-27.134199142456;-52.656600952148;BR
2540;Brig. Lysias Augusto Rodrigues Airport;CLN;SBCI;-7.32043981552124;-47.45869827270508;BR
2541;Diomício Freitas Airport;CCM;SBCM;-28.7244434357;-49.4213905334;BR
2542;Canoas Air Force Base;\N;SBCO;-29.945928;-51.144413;BR
2543;Bartolomeu Lisandro Airport;CAW;SBCP;-21.698299408;-41.301700592;BR
2544;Corumbá International Airport;CMG;SBCR;-19.0119438171;-57.6713905334;BR
2545;Afonso Pena Airport;CWB;SBCT;-25.5284996033;-49.1758003235;BR
2546;Caravelas Airport;CRQ;SBCV;-17.652299880981;-39.253101348877;BR
2547;Hugo Cantergiani Regional Airport;CXJ;SBCX;-29.197099685699996;-51.1875;BR
2548;Marechal Rondon Airport;CGB;SBCY;-15.6528997421;-56.1166992188;BR
2549;Cruzeiro do Sul Airport;CZS;SBCZ;-7.59990978241;-72.7695007324;BR
2550;Presidente Prudente Airport;PPB;SBDN;-22.1751003265;-51.4245986938;BR
2551;Eduardo Gomes International Airport;MAO;SBEG;-3.0386099815368652;-60.04970169067383;BR
2552;Jacareacanga Airport;JCR;SBEK;-6.233160018920898;-57.77690124511719;BR
2553;São Pedro da Aldeia Airport;\N;SBES;-22.81290054321289;-42.09260177612305;BR
2554;Cataratas International Airport;IGU;SBFI;-25.600278854370117;-54.48500061035156;BR
2555;Hercílio Luz International Airport;FLN;SBFL;-27.670278549194336;-48.5525016784668;BR
2556;Fernando de Noronha Airport;FEN;SBFN;-3.85493;-32.423302;BR
2558;Furnas Airport;\N;SBFU;-20.702800750732422;-46.33530044555664;BR
2559;Pinto Martins International Airport;FOR;SBFZ;-3.776279926300049;-38.53260040283203;BR
2560;Rio Galeão – Tom Jobim International Airport;GIG;SBGL;-22.8099994659;-43.2505569458;BR
2561;Guajará-Mirim Airport;GJM;SBGM;-10.786399841308594;-65.28479766845703;BR
2562;Santa Genoveva Airport;GYN;SBGO;-16.631999969482422;-49.220699310302734;BR
2563;EMBRAER - Unidade Gavião Peixoto Airport;\N;SBGP;-21.773700714111328;-48.40510177612305;BR
2564;Guarulhos - Governador André Franco Montoro International Airport;GRU;SBGR;-23.435556411743164;-46.47305679321289;BR
2565;Guaratinguetá Airport;GUJ;SBGW;-22.79159927368164;-45.20479965209961;BR
2566;Altamira Airport;ATM;SBHT;-3.2539100646973;-52.254001617432;BR
2567;Itacoatiara Airport;ITA;SBIC;-3.1272599697113037;-58.481201171875;BR
2568;Itaituba Airport;ITB;SBIH;-4.2423400878906;-56.000701904297;BR
2569;Bahia - Jorge Amado Airport;IOS;SBIL;-14.815999984741;-39.033199310303;BR
2570;Usiminas Airport;IPN;SBIP;-19.470699310303;-42.487598419189;BR
2571;Francisco Vilela do Amaral Airport;ITR;SBIT;-18.4447002411;-49.2134017944;BR
2572;Prefeito Renato Moreira Airport;IMP;SBIZ;-5.53129;-47.459999;BR
2573;Belém/Brigadeiro Protásio de Oliveira Airport;\N;SBJC;-1.4141600132;-48.4607009888;BR
2574;Francisco de Assis Airport;JDF;SBJF;-21.791500091552734;-43.38679885864258;BR
2575;Presidente Castro Pinto International Airport;JPA;SBJP;-7.145833015440001;-34.9486122131;BR
2576;Lauro Carneiro de Loyola Airport;JOI;SBJV;-26.22450065612793;-48.797401428222656;BR
2577;Presidente João Suassuna Airport;CPV;SBKG;-7.26992;-35.8964;BR
2578;Viracopos International Airport;VCP;SBKP;-23.0074005127;-47.1344985962;BR
2579;Lages Airport;LAJ;SBLJ;-27.782100677499997;-50.28150177;BR
2580;Lins Airport;LIP;SBLN;-21.663999557495;-49.730499267578;BR
2581;Governador José Richa Airport;LDB;SBLO;-23.333599090599996;-51.1301002502;BR
2582;Bom Jesus da Lapa Airport;LAZ;SBLP;-13.2621002197;-43.4081001282;BR
2583;Lagoa Santa Airport;\N;SBLS;-19.66160011291504;-43.896400451660156;BR
2584;João Correa da Rocha Airport;MAB;SBMA;-5.36858987808;-49.138000488299994;BR
2585;Monte Dourado Airport;MEU;SBMD;-0.889839;-52.6022;BR
2586;Regional de Maringá - Sílvio Nane Junior Airport;MGF;SBMG;-23.479444503799996;-52.01222229;BR
2587;Mário Ribeiro Airport;MOC;SBMK;-16.706899642899998;-43.818901062;BR
2589;Ponta Pelada Airport;PLL;SBMN;-3.1460399627685547;-59.98630142211914;BR
2590;Zumbi dos Palmares Airport;MCZ;SBMO;-9.510809898376465;-35.79169845581055;BR
2591;Alberto Alcolumbre Airport;MCP;SBMQ;0.0506640002131;-51.0722007751;BR
2592;Dix-Sept Rosado Airport;MVF;SBMS;-5.2019200324999995;-37.3642997742;BR
2593;Campo de Marte Airport;\N;SBMT;-23.5090999603;-46.6377983093;BR
2594;Manicoré Airport;MNX;SBMY;-5.8113799095154;-61.278301239014;BR
2595;Ministro Victor Konder International Airport;NVT;SBNF;-26.879999;-48.651402;BR
2596;Santo Ângelo Airport;GEL;SBNM;-28.2817;-54.169102;BR
2597;Governador Aluízio Alves International Airport;NAT;SBSG;-5.768056;-35.376111;BR
2598;Oiapoque Airport;OYK;SBOI;3.85548996925354;-51.79690170288086;BR
2599;Salgado Filho Airport;POA;SBPA;-29.994400024414062;-51.1713981628418;BR
2600;Prefeito Doutor João Silva Filho Airport;PHB;SBPB;-2.89374995232;-41.73199844359999;BR
2601;Poços de Caldas - Embaixador Walther Moreira Salles Airport;POO;SBPC;-21.843000411987;-46.567901611328;BR
2602;Lauro Kurtz Airport;PFB;SBPF;-28.243999;-52.326599;BR
2603;João Simões Lopes Neto International Airport;PET;SBPK;-31.718399;-52.327702;BR
2604;Senador Nilo Coelho Airport;PNZ;SBPL;-9.362409591674805;-40.56909942626953;BR
2605;Porto Nacional Airport;PNB;SBPN;-10.719400405883789;-48.39970016479492;BR
2606;Ponta Porã Airport;PMG;SBPP;-22.54960060119629;-55.702598571777344;BR
2607;Governador Jorge Teixeira de Oliveira Airport;PVH;SBPV;-8.70928955078125;-63.90230178833008;BR
2609;Plácido de Castro Airport;RBR;SBRB;-9.868888854980469;-67.89805603027344;BR
2610;Guararapes - Gilberto Freyre International Airport;REC;SBRF;-8.126489639282227;-34.92359924316406;BR
2612;Santos Dumont Airport;SDU;SBRJ;-22.910499572799996;-43.1631011963;BR
2613;Leite Lopes Airport;RAO;SBRP;-21.136388778686523;-47.776668548583984;BR
2614;Santa Cruz Air Force Base;SNZ;SBSC;-22.9324;-43.719101;BR
2615;Professor Urbano Ernesto Stumpf Airport;SJK;SBSJ;-23.22920036315918;-45.86149978637695;BR
2616;Marechal Cunha Machado International Airport;SLZ;SBSL;-2.585360050201416;-44.234100341796875;BR
2618;Congonhas Airport;CGH;SBSP;-23.626110076904297;-46.65638732910156;BR
2619;Prof. Eribelto Manoel Reino State Airport;SJP;SBSR;-20.816600799599996;-49.40650177;BR
2620;Base Aérea de Santos Airport;SSZ;SBST;-23.928056716918945;-46.299720764160156;BR
2621;Deputado Luiz Eduardo Magalhães International Airport;SSA;SBSV;-12.9086112976;-38.3224983215;BR
2622;Trombetas Airport;TMT;SBTB;-1.489599943161;-56.396800994873;BR
2623;Senador Petrônio Portela Airport;THE;SBTE;-5.0599398613;-42.8235015869;BR
2624;Tefé Airport;TFF;SBTF;-3.38294005394;-64.7240982056;BR
2625;Tarauacá Airport;TRQ;SBTK;-8.1552600860596;-70.783302307129;BR
2626;Telêmaco Borba Airport;TEC;SBTL;-24.317800521850586;-50.6515998840332;BR
2627;Tiriós Airport;\N;SBTS;2.22347;-55.946098;BR
2628;Tabatinga Airport;TBT;SBTT;-4.2556700706482;-69.93579864502;BR
2629;Tucuruí Airport;TUR;SBTU;-3.7860100269318;-49.72029876709;BR
2630;São Gabriel da Cachoeira Airport;SJL;SBUA;-0.14835;-66.9855;BR
2631;Paulo Afonso Airport;PAV;SBUF;-9.4008798599243;-38.250598907471;BR
2632;Rubem Berta Airport;URG;SBUG;-29.7821998596;-57.0382003784;BR
2633;Ten. Cel. Aviador César Bombonato Airport;UDI;SBUL;-18.883612;-48.225277;BR
2635;Mário de Almeida Franco Airport;UBA;SBUR;-19.764722824097;-47.966110229492;BR
2636;Major Brigadeiro Trompowsky Airport;VAG;SBVG;-21.5900993347;-45.4733009338;BR
2637;Brigadeiro Camarão Airport;BVH;SBVH;-12.694399833679;-60.098300933838;BR
2638;Eurico de Aguiar Salles Airport;VIX;SBVT;-20.258057;-40.286388;BR
2639;Iauaretê Airport;\N;SBYA;0.6075000166893;-69.18579864502;BR
2640;Campo Fontenelle Airport;QPS;SBYS;-21.984600067138672;-47.334800720214844;BR
2641;Chacalluta Airport;ARI;SCAR;-18.348499;-70.338699;CL
2642;Balmaceda Airport;BBA;SCBA;-45.916099548339844;-71.68949890136719;CL
2643;El Bosque Airport;\N;SCBQ;-33.561798095703125;-70.68840026855469;CL
2644;Chile Chico Airport;CCH;SCCC;-46.58330154418945;-71.6874008178711;CL
2645;El Loa Airport;CJC;SCCF;-22.498199462890625;-68.90360260009766;CL
2646;Gral. Bernardo O´Higgins Airport;YAI;SCCH;-36.58250045776367;-72.03140258789062;CL
2647;Pdte. Carlos Ibañez del Campo Airport;PUQ;SCCI;-53.002602;-70.854599;CL
2648;Teniente Vidal Airport;GXQ;SCCY;-45.594200134277344;-72.1061019897461;CL
2649;Diego Aracena Airport;IQQ;SCDA;-20.535200119018555;-70.1812973022461;CL
2650;Comodoro Arturo Merino Benítez International Airport;SCL;SCEL;-33.393001556396484;-70.78579711914062;CL
2651;Andrés Sabella Gálvez International Airport;ANF;SCFA;-23.444501;-70.445099;CL
2652;Capitan Fuentes Martinez Airport Airport;WPR;SCFM;-53.253700256347656;-70.31919860839844;CL
2653;Futaleufú Airport;FFU;SCFT;-43.18920135498047;-71.8510971069336;CL
2654;María Dolores Airport;LSQ;SCGE;-37.40169906616211;-72.42539978027344;CL
2655;Guardiamarina Zañartu Airport;WPU;SCGZ;-54.93109893798828;-67.62629699707031;CL
2656;Carriel Sur Airport;CCP;SCIE;-36.772701;-73.063103;CL
2657;Mataveri Airport;IPC;SCIP;-27.1648006439;-109.42199707;CL
2658;Cañal Bajo Carlos - Hott Siebert Airport;ZOS;SCJO;-40.61119842529297;-73.06099700927734;CL
2659;Vallenar Airport;VLR;SCLL;-28.596399307250977;-70.75599670410156;CL
2660;De La Independencia Airport;QRC;SCRG;-34.17369842529297;-70.77570343017578;CL
2661;Teniente Rodolfo Marsh Martin Base;TNM;SCRM;-62.1907997131;-58.9866981506;AQ
2662;La Florida Airport;LSC;SCSE;-29.916201;-71.199501;CL
2663;Eulogio Sánchez Airport;\N;SCTB;-33.456298828125;-70.54669952392578;CL
2664;Maquehue Airport;PZS;SCTC;-38.766799926758;-72.637100219727;CL
2665;El Tepual Airport;PMC;SCTE;-41.438899993896484;-73.09400177001953;CL
2666;Chaitén Airport;WCH;SCTN;-42.93280029296875;-72.6990966796875;CL
2667;Pichoy Airport;ZAL;SCVD;-39.6500015259;-73.0860977173;CL
2668;Chachoán Airport;ATF;SEAM;-1.2120699882507324;-78.57460021972656;EC
2669;Hacienda Clementina Airport;\N;SECM;-1.7062699794769287;-79.37889862060547;EC
2670;Francisco De Orellana Airport;OCC;SECO;-0.4628860056400299;-76.98680114746094;EC
2671;Mariscal Lamar Airport;CUE;SECU;-2.88947;-78.984398;EC
2672;Seymour Airport;GPS;SEGS;-0.45375800132751465;-90.26589965820312;EC
2673;José Joaquín de Olmedo International Airport;GYE;SEGU;-2.1574199199699997;-79.88359832760001;EC
2674;Gualaquiza Airport;\N;SEGZ;-3.4232099056243896;-78.56700134277344;EC
2675;Atahualpa Airport;\N;SEIB;0.33841899037361145;-78.13639831542969;EC
2676;Km 192 Airport;\N;SEKK;0.18420299887657166;-79.39199829101562;EC
2677;Hacienda La Julia Airport;\N;SELJ;-1.7043800354003906;-79.55229949951172;EC
2678;Cotopaxi International Airport;LTX;SELT;-0.906833;-78.615799;EC
2679;Jose Maria Velasco Ibarra Airport;MRR;SEMA;-4.37823009491;-79.94100189210002;EC
2680;Coronel E Carvajal Airport;XMS;SEMC;-2.2991700172424316;-78.12079620361328;EC
2681;General Manuel Serrano Airport;MCH;SEMH;-3.2689;-79.961601;EC
2682;El Carmen Airport;\N;SEMO;-2.067009925842285;-76.97570037841797;EC
2683;Eloy Alfaro International Airport;MEC;SEMT;-0.9460780024528503;-80.67880249023438;EC
2684;Maragrosa Airport;\N;SEMX;-2.851099967956543;-79.80359649658203;EC
2685;Amable Calle Gutierrez Airport;\N;SEPS;-3.3196699619293213;-79.76920318603516;EC
2686;Reales Tamarindos Airport;PVO;SEPV;-1.0416500568389893;-80.47219848632812;EC
2687;Quevedo Airport;\N;SEQE;-0.9894000291824341;-79.46510314941406;EC
2688;Mariscal Sucre International Airport;UIO;SEQM;-0.129166666667;-78.3575;EC
2689;Chimborazo Airport;\N;SERB;-1.6534299850463867;-78.65609741210938;EC
2690;Santa Rosa International Airport;ETR;SERO;-3.441986;-79.996957;EC
2691;General Ulpiano Paez Airport;SNC;SESA;-2.20499;-80.988899;EC
2692;Santo Domingo de Los Colorados Airport;\N;SESD;-0.2482219934463501;-79.21440124511719;EC
2694;Taura Airport;\N;SETA;-2.261039972305298;-79.6801986694336;EC
2695;Mayor Galo Torres Airport;\N;SETE;-0.9867669939994812;-77.81950378417969;EC
2696;Tarapoa Airport;TPC;SETR;-0.12295600026845932;-76.33779907226562;EC
2697;Teniente Coronel Luis a Mantilla Airport;TUA;SETU;0.8095059990882874;-77.70809936523438;EC
2699;Silvio Pettirossi International Airport;ASU;SGAS;-25.239999771118164;-57.52000045776367;PY
2700;Juan De Ayolas Airport;AYO;SGAY;-27.370554;-56.854064;PY
2701;Teniente Col Carmelo Peralta Airport;CIO;SGCO;-23.442363;-57.427253;PY
2702;Itaipú Airport;\N;SGIB;-25.407519;-54.619377;PY
2703;Dr. Luis Maria Argaña International Airport;ESG;SGME;-22.049999237060547;-60.619998931884766;PY
2704;Carlos Miguel Gimenez Airport;PIL;SGPI;-26.881224;-58.318026;PY
2705;El Eden Airport;AXM;SKAR;4.45278;-75.7664;CO
2706;Tres De Mayo Airport;PUU;SKAS;0.505228;-76.5008;CO
2707;Las Flores Airport;ELB;SKBC;9.04554;-73.9749;CO
2708;Palonegro Airport;BGA;SKBG;7.1265;-73.1848;CO
2709;El Dorado International Airport;BOG;SKBO;4.70159;-74.1469;CO
2710;Ernesto Cortissoz International Airport;BAQ;SKBQ;10.8896;-74.7808;CO
2711;José Celestino Mutis Airport;BSC;SKBS;6.20292;-77.3947;CO
2712;Gerardo Tobar López Airport;BUN;SKBU;3.81963;-76.9898;CO
2713;Camilo Daza International Airport;CUC;SKCC;7.92757;-72.5115;CO
2714;Rafael Nuñez International Airport;CTG;SKCG;10.4424;-75.513;CO
2715;Alfonso Bonilla Aragon International Airport;CLO;SKCL;3.54322;-76.3816;CO
2716;La Florida Airport;TCO;SKCO;1.81442;-78.7492;CO
2717;Las Brujas Airport;CZU;SKCZ;9.33274;-75.2856;CO
2718;Yariguíes Airport;EJA;SKEJ;7.02433;-73.8068;CO
2719;Gustavo Artunduaga Paredes Airport;FLA;SKFL;1.58919;-75.5644;CO
2720;Santiago Vila Airport;GIR;SKGI;4.27624;-74.7967;CO
2722;Juan Casiano Airport;GPI;SKGP;2.57013;-77.8986;CO
2723;Guaymaral Airport;\N;SKGY;4.81233;-74.0649;CO
2724;Perales Airport;IBE;SKIB;4.42161;-75.1333;CO
2725;San Luis Airport;IPI;SKIP;0.861925;-77.6718;CO
2726;Antonio Roldan Betancourt Airport;APO;SKLC;7.81196;-76.7164;CO
2727;Jorge Isaac Airport;MCJ;SKLM;11.2325;-72.4901;CO
2728;Alfredo Vásquez Cobo International Airport;LET;SKLT;-4.19355;-69.9432;CO
2729;Enrique Olaya Herrera Airport;EOH;SKMD;6.220549;-75.590582;CO
2730;Baracoa Airport;MGN;SKMG;9.28474;-74.8461;CO
2731;Los Garzones Airport;MTR;SKMR;8.82374;-75.8258;CO
2732;Fabio Alberto Leon Bentley Airport;MVP;SKMU;1.25366;-70.2339;CO
2733;La Nubia Airport;MZL;SKMZ;5.0296;-75.4647;CO
2734;Benito Salas Airport;NVA;SKNV;2.95015;-75.294;CO
2735;Aguas Claras Airport;OCV;SKOC;8.31506;-73.3583;CO
2736;Otu Airport;OTU;SKOT;7.01037;-74.7155;CO
2737;Puerto Bolívar Airport;\N;SKPB;12.2215;-71.9848;CO
2738;German Olano Airport;PCR;SKPC;6.18472;-67.4932;CO
2739;Matecaña International Airport;PEI;SKPE;4.81267;-75.7395;CO
2740;Pitalito Airport;PTX;SKPI;1.85777;-76.0857;CO
2741;Guillermo León Valencia Airport;PPN;SKPP;2.4544;-76.6093;CO
2742;Antonio Narino Airport;PSO;SKPS;1.39625;-77.2915;CO
2743;El Embrujo Airport;PVA;SKPV;13.3569;-81.3583;CO
2744;Mariquita Airport;MQU;SKQU;5.21256;-74.8836;CO
2745;Jose Maria Córdova International Airport;MDE;SKRG;6.16454;-75.4231;CO
2746;Almirante Padilla Airport;RCH;SKRH;11.5262;-72.926;CO
2747;Jorge E. Gonzalez Torres Airport;SJE;SKSJ;2.57969;-72.6394;CO
2748;Simón Bolívar International Airport;SMR;SKSM;11.1196;-74.2306;CO
2749;Gustavo Rojas Pinilla International Airport;ADZ;SKSP;12.5836;-81.7112;CO
2750;Eduardo Falla Solano Airport;SVI;SKSV;2.15217;-74.7663;CO
2751;Gustavo Vargas Airport;TME;SKTM;6.45108;-71.7603;CO
2752;Santiago Perez Airport;AUC;SKUC;7.06888;-70.7369;CO
2753;El Caraño Airport;UIB;SKUI;5.69076;-76.6412;CO
2754;Heriberto Gíl Martínez Airport;ULQ;SKUL;4.08836;-76.2351;CO
2755;Alfonso López Pumarejo Airport;VUP;SKVP;10.435;-73.2495;CO
2756;Vanguardia Airport;VVC;SKVV;4.16787;-73.6138;CO
2758;Bermejo Airport;BJO;SLBJ;-22.7733001709;-64.31289672850001;BO
2759;Jorge Wilsterman International Airport;CBB;SLCB;-17.421100616455078;-66.1771011352539;BO
2760;Chimore Airport;CCA;SLCH;-16.976834;-65.145568;BO
2761;Capitán Aníbal Arab Airport;CIJ;SLCO;-11.040399551400002;-68.7829971313;BO
2762;El Alto International Airport;LPB;SLLP;-16.5132999420166;-68.19229888916016;BO
2763;Juan Mendoza Airport;ORU;SLOR;-17.962600708;-67.0762023926;BO
2764;Capitan Nicolas Rojas Airport;POI;SLPO;-19.5431003571;-65.72370147710001;BO
2765;Capitán Av. Salvador Ogaya G. airport;PSZ;SLPS;-18.975301;-57.820599;BO
2766;Santa Ana Del Yacuma Airport;SBL;SLSA;-13.762200355500001;-65.4352035522;BO
2767;Juana Azurduy De Padilla Airport;SRE;SLSU;-19.007099151611328;-65.2886962890625;BO
2768;Capitan Oriel Lea Plaza Airport;TJA;SLTJ;-21.5557003021;-64.7013015747;BO
2769;Teniente Av. Jorge Henrich Arauz Airport;TDD;SLTR;-14.8186998367;-64.9179992676;BO
